unit,tra_meas,airp_pr\time	2018Q1 	2018M03 	2018M02 	2018M01 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2017 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 	2016 
FLIGHT,CAF_PAS,ME_LYPG_AT_LOWW	: 	: 	: 	: 	220 	308 	283 	200 	64 	68 	88 	94 	106 	108 	100 	98 	85 	72 	64 	64 	1011 	259 	310 	290 	210 	68 	70 	121 	98 	106 	106 	102 	96 	92 	74 	68 	68 	1069 
FLIGHT,CAF_PAS,ME_LYPG_BE_EBCI	: 	: 	: 	: 	54 	52 	52 	52 	20 	16 	18 	16 	18 	18 	18 	16 	18 	18 	16 	18 	210 	52 	52 	52 	52 	18 	16 	18 	18 	16 	18 	18 	18 	16 	18 	18 	16 	208 
FLIGHT,CAF_PAS,ME_LYPG_CH_LSZH	: 	: 	: 	: 	76 	146 	110 	70 	22 	24 	30 	40 	52 	54 	42 	36 	32 	24 	21 	25 	402 	78 	148 	113 	60 	25 	22 	31 	42 	52 	54 	47 	36 	30 	20 	16 	24 	399 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDB	: 	: 	: 	: 	54 	52 	53 	52 	18 	18 	18 	16 	18 	18 	18 	17 	18 	18 	16 	18 	211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDDF	: 	: 	: 	: 	68 	123 	92 	56 	22 	18 	28 	35 	44 	44 	40 	26 	26 	20 	16 	20 	339 	69 	125 	90 	57 	21 	16 	32 	38 	43 	44 	38 	26 	26 	18 	16 	23 	341 
FLIGHT,CAF_PAS,ME_LYPG_DE_EDJA	: 	: 	: 	: 	53 	52 	52 	49 	19 	16 	18 	16 	18 	18 	18 	16 	18 	18 	16 	15 	206 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_FR_LFPG	: 	: 	: 	: 	61 	188 	139 	57 	24 	16 	21 	48 	72 	68 	50 	45 	44 	15 	20 	22 	445 	72 	186 	161 	54 	22 	16 	34 	48 	70 	68 	52 	70 	39 	18 	16 	20 	473 
FLIGHT,CAF_PAS,ME_LYPG_HU_LHBP	: 	: 	: 	: 	72 	54 	53 	: 	26 	27 	19 	18 	18 	18 	16 	20 	17 	: 	: 	: 	179 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_IT_LIMC	: 	: 	: 	: 	52 	54 	52 	50 	18 	16 	18 	18 	18 	18 	16 	18 	18 	16 	16 	18 	208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_IT_LIRF	: 	: 	: 	: 	184 	276 	258 	157 	52 	50 	82 	84 	96 	96 	88 	84 	86 	58 	46 	53 	875 	163 	202 	181 	156 	52 	49 	62 	62 	72 	68 	61 	62 	58 	54 	50 	52 	702 
FLIGHT,CAF_PAS,ME_LYPG_RS_LYBE	839 	290 	251 	298 	894 	935 	929 	875 	298 	284 	312 	299 	315 	321 	301 	320 	308 	306 	265 	304 	3633 	898 	930 	937 	864 	306 	284 	308 	304 	315 	311 	304 	325 	308 	305 	266 	293 	3629 
FLIGHT,CAF_PAS,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	159 	65 	1 	2 	: 	6 	36 	57 	66 	58 	7 	: 	: 	1 	: 	233 
FLIGHT,CAF_PAS,ME_LYPG_RU_UUWW	: 	: 	: 	: 	2 	109 	43 	: 	: 	: 	2 	37 	34 	38 	40 	3 	: 	: 	: 	: 	154 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_SE_ESKN	: 	: 	: 	: 	50 	52 	52 	: 	16 	16 	18 	16 	18 	18 	18 	16 	18 	: 	: 	: 	154 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYPG_SI_LJLJ	: 	: 	: 	: 	261 	261 	191 	151 	87 	84 	90 	86 	87 	88 	79 	62 	50 	52 	46 	53 	864 	150 	158 	155 	153 	46 	52 	52 	52 	54 	52 	52 	52 	51 	54 	50 	49 	616 
FLIGHT,CAF_PAS,ME_LYPG_TR_LTBA	183 	69 	52 	62 	228 	334 	310 	156 	60 	60 	108 	112 	116 	106 	106 	104 	100 	66 	46 	44 	1028 	220 	310 	306 	158 	58 	58 	104 	102 	108 	100 	102 	106 	98 	62 	48 	48 	994 
FLIGHT,CAF_PAS,ME_LYPG_UK_EGSS	: 	: 	: 	: 	54 	52 	52 	54 	18 	18 	18 	16 	18 	18 	16 	18 	18 	18 	16 	20 	212 	54 	52 	52 	54 	20 	16 	18 	16 	18 	18 	18 	18 	16 	18 	16 	20 	212 
FLIGHT,CAF_PAS,ME_LYTV_BY_UMMS	: 	: 	: 	: 	6 	182 	74 	: 	: 	: 	6 	58 	62 	62 	62 	10 	2 	: 	: 	: 	262 	6 	176 	64 	: 	: 	: 	6 	56 	57 	63 	54 	8 	2 	: 	: 	: 	246 
FLIGHT,CAF_PAS,ME_LYTV_IL_LLBG	: 	: 	: 	: 	23 	84 	65 	: 	: 	: 	23 	34 	23 	27 	30 	16 	19 	: 	: 	: 	172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYTV_RS_LYBE	: 	: 	: 	: 	506 	1045 	786 	410 	144 	131 	231 	292 	376 	377 	327 	241 	218 	163 	125 	122 	2747 	527 	1334 	833 	420 	149 	142 	236 	355 	485 	494 	366 	240 	227 	155 	128 	137 	3114 
FLIGHT,CAF_PAS,ME_LYTV_RU_ULLI	: 	: 	: 	: 	8 	442 	158 	: 	: 	: 	8 	130 	158 	154 	140 	16 	2 	: 	: 	: 	608 	8 	368 	129 	2 	: 	: 	8 	104 	135 	129 	115 	12 	2 	: 	: 	2 	507 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUDD	: 	: 	: 	: 	215 	1243 	670 	140 	52 	52 	111 	343 	449 	451 	409 	169 	92 	51 	35 	54 	2268 	239 	1308 	611 	182 	60 	51 	128 	383 	463 	462 	374 	149 	88 	65 	48 	69 	2340 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUEE	: 	: 	: 	: 	153 	410 	257 	110 	45 	46 	62 	130 	140 	140 	134 	63 	60 	46 	30 	34 	930 	144 	422 	263 	172 	36 	46 	62 	138 	142 	142 	136 	66 	61 	58 	58 	56 	1001 
FLIGHT,CAF_PAS,ME_LYTV_RU_UUWW	: 	: 	: 	: 	52 	231 	104 	: 	18 	16 	18 	61 	84 	86 	84 	20 	: 	: 	: 	: 	387 	: 	134 	44 	: 	: 	: 	: 	50 	46 	38 	42 	2 	: 	: 	: 	: 	178 
FLIGHT,CAF_PAS,ME_LYTV_UA_UKKK	: 	: 	: 	: 	: 	247 	71 	: 	: 	: 	: 	67 	85 	95 	51 	16 	4 	: 	: 	: 	318 	4 	213 	72 	: 	: 	: 	4 	58 	79 	76 	53 	15 	4 	: 	: 	: 	289 
FLIGHT,CAF_PAS,ME_LYTV_UK_EGCC	: 	: 	: 	: 	16 	52 	52 	4 	: 	: 	16 	16 	18 	18 	16 	18 	18 	4 	: 	: 	124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS,ME_LYTV_UK_EGKK	: 	: 	: 	: 	27 	115 	82 	4 	: 	: 	27 	36 	40 	39 	36 	28 	18 	4 	: 	: 	228 	27 	136 	60 	: 	: 	: 	27 	42 	44 	50 	40 	18 	2 	: 	: 	: 	223 
FLIGHT,CAF_PAS_ARR,ME_LYPG_AT_LOWW	: 	: 	: 	: 	110 	154 	142 	100 	32 	34 	44 	47 	53 	54 	50 	49 	43 	36 	32 	32 	506 	130 	155 	145 	105 	34 	35 	61 	49 	53 	53 	51 	48 	46 	37 	34 	34 	535 
FLIGHT,CAF_PAS_ARR,ME_LYPG_BE_EBCI	: 	: 	: 	: 	27 	26 	26 	26 	10 	8 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	105 	26 	26 	26 	26 	9 	8 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	104 
FLIGHT,CAF_PAS_ARR,ME_LYPG_CH_LSZH	: 	: 	: 	: 	38 	73 	55 	39 	11 	12 	15 	20 	26 	27 	21 	18 	16 	14 	12 	13 	205 	38 	74 	56 	30 	12 	11 	15 	21 	26 	27 	23 	18 	15 	10 	8 	12 	198 
FLIGHT,CAF_PAS_ARR,ME_LYPG_DE_EDDB	: 	: 	: 	: 	27 	26 	26 	26 	9 	9 	9 	8 	9 	9 	9 	8 	9 	9 	8 	9 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_DE_EDDF	: 	: 	: 	: 	34 	61 	46 	28 	11 	9 	14 	17 	22 	22 	20 	13 	13 	10 	8 	10 	169 	35 	62 	45 	29 	11 	8 	16 	19 	21 	22 	19 	13 	13 	9 	8 	12 	171 
FLIGHT,CAF_PAS_ARR,ME_LYPG_DE_EDJA	: 	: 	: 	: 	26 	26 	26 	24 	9 	8 	9 	8 	9 	9 	9 	8 	9 	9 	8 	7 	102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_FR_LFPG	: 	: 	: 	: 	31 	94 	70 	29 	12 	8 	11 	24 	36 	34 	25 	23 	22 	8 	10 	11 	224 	36 	93 	82 	27 	11 	8 	17 	24 	35 	34 	26 	36 	20 	9 	8 	10 	238 
FLIGHT,CAF_PAS_ARR,ME_LYPG_HU_LHBP	: 	: 	: 	: 	37 	27 	26 	: 	13 	14 	10 	9 	9 	9 	8 	10 	8 	: 	: 	: 	90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_IT_LIMC	: 	: 	: 	: 	26 	27 	26 	25 	9 	8 	9 	9 	9 	9 	8 	9 	9 	8 	8 	9 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_IT_LIRF	: 	: 	: 	: 	92 	138 	129 	79 	26 	25 	41 	42 	48 	48 	44 	42 	43 	29 	23 	27 	438 	81 	101 	90 	78 	26 	24 	31 	31 	36 	34 	30 	31 	29 	27 	25 	26 	350 
FLIGHT,CAF_PAS_ARR,ME_LYPG_RS_LYBE	421 	147 	125 	149 	448 	467 	466 	442 	149 	142 	157 	150 	157 	160 	151 	161 	154 	153 	134 	155 	1823 	450 	465 	469 	434 	153 	143 	154 	152 	158 	155 	152 	163 	154 	153 	134 	147 	1818 
FLIGHT,CAF_PAS_ARR,ME_LYPG_RU_UUDD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	79 	33 	1 	1 	: 	3 	18 	28 	33 	29 	4 	: 	: 	1 	: 	117 
FLIGHT,CAF_PAS_ARR,ME_LYPG_RU_UUWW	: 	: 	: 	: 	1 	54 	22 	: 	: 	: 	1 	18 	17 	19 	20 	2 	: 	: 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_SE_ESKN	: 	: 	: 	: 	25 	26 	26 	: 	8 	8 	9 	8 	9 	9 	9 	8 	9 	: 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FLIGHT,CAF_PAS_ARR,ME_LYPG_SI_LJLJ	: 	: 	: 	: 	130 	131 	95 	75 	43 	42 	45 	43 	44 	44 	39 	31 	25 	25 	23 	27 	431 	75 	79 	77 	77 	23 	26 	26 	26 	27 	26 	26 	26 	25 	27 	25 	25 	308 
FLIGHT,CAF_PAS_ARR,ME_LYPG_TR_LTBA	91 	34 	26 	31 	114 	167 	155 	78 	30 	30 	54 	56 	58 	53 	53 	52 	50 	33 	23 	22 	514 	110 	155 	153 	79 	29 	29 	52 	51 	54 	50 	51 	53 	49 	31 	24 	24 	497 
FLIGHT,CAF_PAS_ARR,ME_LYPG_UK_EGSS	: 	: 	: 	: 	27 	26 	26 	27 	9 	9 	9 	8 	9 	9 	8 	9 	9 	9 	8 	10 	106 	27 	26 	26 	27 	10 	8 	9 	8 	9 	9 	9 	9 	8 	9 	8 	10 	106 
FLIGHT,CAF_PAS_ARR,ME_LYTV_BY_UMMS	: 	: 	: 	: 	3 	91 	37 	: 	: 	: 	3 	29 	31 	31 	31 	5 	1 	: 	: 	: 	131 	6 	90 	31 	: 	: 	: 	6 	28 	31 	31 	26 	4 	1 	: 	: 	: 	127 
FLIGHT,CAF_PAS_ARR,ME_LYTV_IL_LLBG	: 	: 	: 	: 	12 	41 	34 	: 	: 	: 	12 	17 	11 	13 	15 	8 	11 	: 	: 	: 	87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
